table_catalog,table_schema,table_name,column_name,ordinal_position,column_default,is_nullable,data_type,character_maximum_length,character_octet_length,numeric_precision,numeric_precision_radix,numeric_scale,datetime_precision,interval_type,interval_precision,character_set_catalog,character_set_schema,character_set_name,collation_catalog,collation_schema,collation_name,domain_catalog,domain_schema,domain_name,udt_catalog,udt_schema,udt_name,scope_catalog,scope_schema,scope_name,maximum_cardinality,dtd_identifier,is_self_referencing,is_identity,identity_generation,identity_start,identity_increment,identity_maximum,identity_minimum,identity_cycle,is_generated,generation_expression,is_updatable
cartodb_user_ee5fe8e6-a9a6-45f1-81e5-1a618f7e0ee5_db,ruralinnovation-admin,dod_covid_county,cartodb_id,1,nextval('dod_covid_county_cartodb_id_seq'::regclass),NO,bigint,,,64,2,0,,,,,,,,,,,,,cartodb_user_ee5fe8e6-a9a6-45f1-81e5-1a618f7e0ee5_db,pg_catalog,int8,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
cartodb_user_ee5fe8e6-a9a6-45f1-81e5-1a618f7e0ee5_db,ruralinnovation-admin,dod_covid_county,the_geom,2,,YES,USER-DEFINED,,,,,,,,,,,,,,,,,,cartodb_user_ee5fe8e6-a9a6-45f1-81e5-1a618f7e0ee5_db,public,geometry,,,,,2,NO,NO,,,,,,NO,NEVER,,YES
cartodb_user_ee5fe8e6-a9a6-45f1-81e5-1a618f7e0ee5_db,ruralinnovation-admin,dod_covid_county,the_geom_webmercator,3,,YES,USER-DEFINED,,,,,,,,,,,,,,,,,,cartodb_user_ee5fe8e6-a9a6-45f1-81e5-1a618f7e0ee5_db,public,geometry,,,,,3,NO,NO,,,,,,NO,NEVER,,YES
cartodb_user_ee5fe8e6-a9a6-45f1-81e5-1a618f7e0ee5_db,ruralinnovation-admin,dod_covid_county,fid,4,,YES,integer,,,32,2,0,,,,,,,,,,,,,cartodb_user_ee5fe8e6-a9a6-45f1-81e5-1a618f7e0ee5_db,pg_catalog,int4,,,,,4,NO,NO,,,,,,NO,NEVER,,YES
cartodb_user_ee5fe8e6-a9a6-45f1-81e5-1a618f7e0ee5_db,ruralinnovation-admin,dod_covid_county,geoid_co,5,,YES,text,,1073741824,,,,,,,,,,,,,,,,cartodb_user_ee5fe8e6-a9a6-45f1-81e5-1a618f7e0ee5_db,pg_catalog,text,,,,,5,NO,NO,,,,,,NO,NEVER,,YES
cartodb_user_ee5fe8e6-a9a6-45f1-81e5-1a618f7e0ee5_db,ruralinnovation-admin,dod_covid_county,name,6,,YES,text,,1073741824,,,,,,,,,,,,,,,,cartodb_user_ee5fe8e6-a9a6-45f1-81e5-1a618f7e0ee5_db,pg_catalog,text,,,,,6,NO,NO,,,,,,NO,NEVER,,YES
cartodb_user_ee5fe8e6-a9a6-45f1-81e5-1a618f7e0ee5_db,ruralinnovation-admin,dod_covid_county,namelsad,7,,YES,text,,1073741824,,,,,,,,,,,,,,,,cartodb_user_ee5fe8e6-a9a6-45f1-81e5-1a618f7e0ee5_db,pg_catalog,text,,,,,7,NO,NO,,,,,,NO,NEVER,,YES
cartodb_user_ee5fe8e6-a9a6-45f1-81e5-1a618f7e0ee5_db,ruralinnovation-admin,dod_covid_county,st_stusps,8,,YES,text,,1073741824,,,,,,,,,,,,,,,,cartodb_user_ee5fe8e6-a9a6-45f1-81e5-1a618f7e0ee5_db,pg_catalog,text,,,,,8,NO,NO,,,,,,NO,NEVER,,YES
cartodb_user_ee5fe8e6-a9a6-45f1-81e5-1a618f7e0ee5_db,ruralinnovation-admin,dod_covid_county,geoid_st,9,,YES,text,,1073741824,,,,,,,,,,,,,,,,cartodb_user_ee5fe8e6-a9a6-45f1-81e5-1a618f7e0ee5_db,pg_catalog,text,,,,,9,NO,NO,,,,,,NO,NEVER,,YES
cartodb_user_ee5fe8e6-a9a6-45f1-81e5-1a618f7e0ee5_db,ruralinnovation-admin,dod_covid_county,st_name,10,,YES,text,,1073741824,,,,,,,,,,,,,,,,cartodb_user_ee5fe8e6-a9a6-45f1-81e5-1a618f7e0ee5_db,pg_catalog,text,,,,,10,NO,NO,,,,,,NO,NEVER,,YES
