vintage,stabb,pbkey,pbkey_percentage,linkid,linkid_percentage,rectype,rectype_percentage,business,business_percentage,fname,fname_percentage,mname,mname_percentage,lname,lname_percentage,suffix,suffix_percentage,gender,gender_percentage,dob,dob_percentage,address,address_percentage,house,house_percentage,predir,predir_percentage,street,street_percentage,strtype,strtype_percentage,postdir,postdir_percentage,apttype,apttype_percentage,aptnbr,aptnbr_percentage,city,city_percentage,state,state_percentage,zip,zip_percentage,z4,z4_percentage,vacant,vacant_percentage,prop_saleamt,prop_saleamt_percentage,prop_lendername,prop_lendername_percentage,prop_mtgamt,prop_mtgamt_percentage,prop_recdate,prop_recdate_percentage,prop_taxamt,prop_taxamt_percentage,prop_taxyr,prop_taxyr_percentage,prop_assed_val,prop_assed_val_percentage
202003,CO,5605435,100,5605435,100,5524753,99,833589,15,4785575,85,3420732,61,4809029,86,133837,2,3557664,63,1572290,28,5605435,100,5605179,100,1934233,35,5605434,100,5443711,97,44984,1,693766,12,698455,12,5605408,100,5605435,100,5605356,100,5139791,92,5139726,92,4746522,85,2596312,46,3659749,65,5577824,100,3271133,58,3271134,58,3296486,59
202003,FL,25726949,100,25726949,100,25321660,98,4101564,16,21695432,84,13507836,53,21759142,85,791033,3,15863657,62,6086160,24,25726949,100,25714961,100,7942850,31,25726936,100,25095962,98,2121677,8,4377930,17,4414394,17,25726944,100,25726949,100,25726724,100,23908349,93,23908240,93,21875423,85,9592204,37,13252867,52,25581207,99,14158147,55,14158492,55,14297536,56
202003,ID,1077877,100,1077877,100,1066877,99,172419,16,906016,84,579770,54,910839,85,18106,2,647250,60,223147,21,1077877,100,1077824,100,668414,62,1077877,100,1011583,94,70744,7,16888,2,19512,2,1077877,100,1077877,100,1077877,100,972921,90,972916,90,654720,61,509366,47,694300,64,1066024,99,709946,66,709946,66,713118,66
202003,KS,1672404,100,1672404,100,1637855,98,272818,16,1426309,85,1005330,60,1431455,86,39428,2,959081,57,386565,23,1672404,100,1672228,100,1016049,61,1672395,100,1629681,97,27671,2,15076,1,15093,1,1672349,100,1672404,100,1672404,100,1530611,92,1530595,92,1183872,71,548661,33,715122,43,1666394,100,1022226,61,1022227,61,1240316,74
202003,KY,2231261,100,2231261,100,2213356,99,281248,13,1957720,88,1227865,55,1962476,88,82276,4,1333825,60,567119,25,2231261,100,2230499,100,192962,9,2231261,100,2132569,96,32535,1,57309,3,57578,3,2231221,100,2231261,100,2231223,100,2077777,93,2077755,93,1800617,81,588508,26,778488,35,2224750,100,1434488,64,1434468,64,1523725,68
202003,LA,2151501,100,2151501,100,2108397,98,319253,15,1863439,87,1422078,66,1863695,87,173862,8,1102581,51,380968,18,2151501,100,2151028,100,182926,9,2151447,100,2057783,96,17964,1,68721,3,69209,3,2151487,100,2151501,100,2151488,100,1984725,92,1984709,92,1637008,76,748460,35,866830,40,2140413,99,1548165,72,1548165,72,1573152,73
202003,ME,498549,100,498549,100,492818,99,58528,12,447309,90,306052,61,448355,90,16908,3,315662,63,105040,21,498549,100,498332,100,17408,3,498549,100,489949,98,3477,1,14411,3,14685,3,498549,100,498549,100,498549,100,431110,86,431078,86,252964,51,244943,49,255600,51,497326,100,376101,75,380375,76,383270,77
202003,MA,4239818,100,4239818,100,4130836,97,461906,11,3765036,89,2512035,59,3796239,90,102145,2,2348598,55,1253406,30,4239818,100,4234900,100,117496,3,4239818,100,4201876,99,13850,0,495938,12,505567,12,4239818,100,4239818,100,4239818,100,4010548,95,4010514,95,3368731,79,2026396,48,2755617,65,4215807,99,2377751,56,2426102,57,2424504,57
202003,MI,5881029,100,5881029,100,5800442,99,1121477,19,4897443,83,2397836,41,4915389,84,126072,2,3265367,56,1422481,24,5881029,100,5878951,100,857855,15,5881011,100,5714273,97,295224,5,105495,2,106996,2,5881029,100,5881029,100,5881029,100,5522768,94,5522755,94,4687282,80,2052461,35,2675962,46,5837826,99,3417063,58,3414715,58,3865117,66
202003,MO,3854330,100,3854330,100,3806840,99,735389,19,3140168,81,2118637,55,3154129,82,110001,3,2116604,55,950015,25,3854330,100,3853747,100,1223753,32,3854328,100,3652499,95,48678,1,116583,3,117606,3,3854159,100,3854330,100,3854161,100,3606721,94,3606508,94,1846059,48,1463570,38,1927800,50,3839469,100,2425197,63,2425199,63,2467813,64
202003,NY,8312625,100,8312625,100,8168119,98,1072695,13,7236119,87,3127765,38,7251782,87,196759,2,4590814,55,2272374,27,8312625,100,8306279,100,847929,10,8312621,100,7986449,96,114093,1,762206,9,769922,9,8312536,100,8312625,100,8312482,100,7745246,93,7745090,93,6564069,79,2784098,33,3597342,43,8275303,100,5026843,60,5031300,61,5116590,62
202003,ND,335795,100,335795,100,333685,99,58827,18,277404,83,170317,51,277444,83,4231,1,209674,62,42044,13,335795,100,335712,100,29684,9,335795,100,328649,98,213214,63,14896,4,15014,4,335795,100,335795,100,335795,100,305877,91,305872,91,237325,71,159567,48,205223,61,334680,100,235620,70,235621,70,227580,68
202003,OH,11234878,100,11234878,100,11140983,99,1732385,15,9584035,85,7102167,63,9596817,85,356837,3,7202783,64,3009445,27,11234878,100,11218988,100,1476810,13,11234807,100,10828808,96,636200,6,266888,2,269495,2,11234665,100,11234878,100,11234664,100,10634180,95,10633137,95,9231086,82,4799613,43,6683041,59,11180561,100,6658316,59,6658316,59,6696186,60
202003,WV,409593,100,409593,100,407310,99,35713,9,373841,91,304558,74,373681,91,25767,6,151864,37,45425,11,409593,100,408981,100,22941,6,409593,100,406640,99,8066,2,3933,1,3933,1,409547,100,409593,100,409547,100,358700,88,358697,88,264924,65,73579,18,83268,20,406564,99,317924,78,317930,78,334692,82
202003,CA,24042973,100,24042973,100,23383942,97,3836237,16,20182695,84,12503664,52,20353104,85,502501,2,12724843,53,5960965,25,24042973,100,24002359,100,3547218,15,24042860,100,22577706,94,150598,1,1994699,8,2013209,8,24042940,100,24042973,100,24042922,100,23026026,96,23025822,96,17639189,73,12244181,51,16684516,69,23752321,99,13390594,56,13390570,56,13428639,56
202003,DE,669458,100,669458,100,662147,99,104659,16,570417,85,422292,63,570081,85,43790,7,378652,57,179016,27,669458,100,669307,100,99736,15,669458,100,665786,99,3957,1,11873,2,11934,2,669458,100,669458,100,669458,100,632995,95,632983,95,547803,82,307185,46,418024,62,667165,100,425125,64,425124,64,448451,67
202003,HI,735118,100,735118,100,705906,96,141819,19,602031,82,457390,62,607210,83,19240,3,381495,52,92068,13,735118,100,732704,100,37928,5,735118,100,731331,99,33,0,388436,53,391043,53,735118,100,735118,100,735118,100,609705,83,608674,83,525526,71,275838,38,369772,50,729911,99,440889,60,440889,60,450351,61
202003,IA,1532078,100,1532078,100,1516997,99,202502,13,1338324,87,944188,62,1339447,87,20775,1,951310,62,402599,26,1532071,100,1532008,100,425027,28,1532071,100,1499601,98,194169,13,65863,4,66191,4,1532070,100,1532078,100,1532067,100,1458137,95,1458125,95,1157947,76,726172,47,861279,56,1523577,99,1033422,67,1033475,67,1040767,68
202003,MS,820191,100,820191,100,809908,99,108649,13,721931,88,482622,59,722931,88,44600,5,401217,49,142361,17,820191,100,819814,100,56866,7,820185,100,742357,91,47735,6,9559,1,9709,1,820075,100,820191,100,820075,100,774885,94,774880,94,176618,22,171933,21,200799,24,813882,99,613610,75,613126,75,666151,81
202003,MT,734991,100,734991,100,728988,99,108257,15,625267,85,439986,60,627605,85,14328,2,409526,56,130073,18,734991,100,734683,100,107713,15,734991,100,704619,96,97407,13,29573,4,30662,4,734991,100,734991,100,734991,100,596571,81,596556,81,267689,36,264259,36,345665,47,722261,98,510070,69,510067,69,520699,71
202003,NE,1006535,100,1006535,100,995505,99,137414,14,873422,87,640055,64,874432,87,19518,2,596329,59,251996,25,1006535,100,1006450,100,419368,42,1006535,100,964094,96,5572,1,15922,2,16206,2,1006318,100,1006535,100,1006314,100,948275,94,948270,94,875254,87,376436,37,495359,49,1002677,100,685687,68,685672,68,701691,70
202003,NV,4278890,100,4278890,100,4173962,98,972183,23,3262360,76,1844393,43,3326546,78,86652,2,2417891,57,751056,18,4278890,100,4278570,100,461977,11,4278806,100,4241094,99,22555,1,526084,12,528010,12,4278885,100,4278890,100,4278858,100,4146712,97,4141787,97,3439057,80,1872797,44,2584014,60,4241392,99,2464014,58,2464014,58,2479034,58
202003,NM,919879,100,919879,100,903973,98,115119,13,806689,88,518182,56,807650,88,23642,3,547335,60,203743,22,919879,100,919148,100,86099,9,919879,100,827367,90,471134,51,21718,2,22262,2,919877,100,919879,100,919876,100,849789,92,849777,92,511303,56,422771,46,562731,61,915654,100,566583,62,566584,62,575833,63
