vintage,stabb,pid,pid_percentage,addrid,addrid_percentage,rectype,rectype_percentage,business,business_percentage,fname,fname_percentage,mname,mname_percentage,lname,lname_percentage,suffix,suffix_percentage,gender,gender_percentage,dob,dob_percentage,address,address_percentage,house,house_percentage,predir,predir_percentage,street,street_percentage,strtype,strtype_percentage,postdir,postdir_percentage,apttype,apttype_percentage,aptnbr,aptnbr_percentage,city,city_percentage,state,state_percentage,zip,zip_percentage,z4,z4_percentage,vacant,vacant_percentage,prop_saleamt,prop_saleamt_percentage,prop_lendername,prop_lendername_percentage,prop_mtgamt,prop_mtgamt_percentage,prop_recdate,prop_recdate_percentage,prop_taxamt,prop_taxamt_percentage,prop_taxyr,prop_taxyr_percentage,prop_assed_val,prop_assed_val_percentage
202004,AK,344261,100,344261,100,339849,98.7184,40403,11.7362,304390,88.4184,228375,66.3378,305495,88.7394,11019,3.2008,206348,59.9394,64852,18.838,344261,100,344261,100,100727,29.2589,344261,100,343793,99.8641,1144,0.3323,19133,5.5577,19415,5.6396,344260,99.9997,344261,100,344260,99.9997,281869,81.8765,281869,81.8765,185749,53.9559,169728,49.3021,227625,66.1199,342997,99.6328,211090,61.3168,211090,61.3168,218824,63.5634
202004,AZ,7228613,100,7228613,100,7012835,97.0149,1420179,19.6466,5774077,79.8781,3732646,51.6371,5886955,81.4396,144136,1.994,4091133,56.5964,1552645,21.4792,7228592,99.9997,7228555,99.9992,6684713,92.4757,7228592,99.9997,6774130,93.7127,50080,0.6928,543671,7.5211,547308,7.5714,7228463,99.9979,7228613,100,7228064,99.9924,6675516,92.3485,6675438,92.3474,5719916,79.1288,3034089,41.9733,4064123,56.2227,7133891,98.6896,4049062,56.0144,4049062,56.0144,4088139,56.555
202004,CT,1828233,100,1828233,100,1780812,97.4062,188860,10.3302,1636424,89.5085,870926,47.6376,1645072,89.9815,54334,2.9719,992299,54.2764,591363,32.3462,1828233,100,1828156,99.9958,62700,3.4295,1828233,100,1812449,99.1367,15448,0.845,114476,6.2616,115941,6.3417,1828233,100,1828233,100,1828233,100,1761971,96.3756,1761961,96.3751,1402669,76.7227,902934,49.3883,1242531,67.9635,1820470,99.5754,948311,51.8704,957534,52.3748,958469,52.426
202004,DC,387447,100,387447,100,380325,98.1618,48650,12.5566,339087,87.5183,216927,55.9888,339531,87.6329,11753,3.0334,218083,56.2872,100556,25.9535,387447,100,387369,99.9799,4912,1.2678,387447,100,387437,99.9974,387430,99.9956,136889,35.331,137509,35.491,387447,100,387447,100,387307,99.9639,383290,98.9271,383199,98.9036,347804,89.7681,205850,53.1298,278880,71.9789,385705,99.5504,229412,59.2112,229412,59.2112,235517,60.7869
202004,GA,7448404,100,7448404,100,7296655,97.9627,1358293,18.236,6143275,82.4777,4089740,54.9076,6154499,82.6284,296513,3.9809,4145814,55.6604,1879359,25.2317,7448403,100,7447993,99.9945,306350,4.113,7448403,100,7279654,97.7344,1388421,18.6405,222295,2.9845,223384,2.9991,7448315,99.9988,7448404,100,7447842,99.9925,7139039,95.8466,7138910,95.8448,6026907,80.9154,3301475,44.3246,4375914,58.7497,7405032,99.4177,4403072,59.1143,4403074,59.1143,4477197,60.1095
202004,IN,3541702,100,3541702,100,3509584,99.0931,663395,18.731,2910610,82.1811,1996348,56.3669,2914416,82.2886,97092,2.7414,1840311,51.9612,704437,19.8898,3540772,99.9737,3540265,99.9594,1394025,39.3603,3540772,99.9737,3186531,89.9717,288986,8.1595,30723,0.8675,30976,0.8746,3541702,100,3541702,100,3541542,99.9955,3310500,93.472,3310433,93.4701,1570904,44.3545,1313287,37.0807,1610431,45.4705,3530507,99.6839,2456028,69.346,2456505,69.3595,2526938,71.3481
202004,NH,592135,100,592135,100,574378,97.0012,63902,10.7918,526800,88.9662,373526,63.0812,528787,89.3018,20669,3.4906,346031,58.4379,134372,22.6928,592135,100,592023,99.9811,18468,3.1189,592135,100,584212,98.662,1816,0.3067,28477,4.8092,29011,4.8994,592135,100,592135,100,592133,99.9997,554421,93.6308,554421,93.6308,509780,86.0919,347669,58.7145,379962,64.1681,587501,99.2174,369422,62.3881,372351,62.8828,370442,62.5604
202004,OK,3107193,100,3107193,100,3071662,98.8565,517347,16.65,2584834,83.1887,1749034,56.2898,2597833,83.6071,94127,3.0293,1892766,60.9156,693745,22.3271,3107193,100,3107141,99.9983,2065239,66.4664,3107193,100,2994529,96.3741,123443,3.9728,31126,1.0017,31610,1.0173,3107100,99.997,3107193,100,3106396,99.9744,2939159,94.5921,2939141,94.5915,2416160,77.7602,1107137,35.6314,1447886,46.5979,3081270,99.1657,1913437,61.5809,1913437,61.5809,1943321,62.5427
202004,RI,474621,100,474621,100,462760,97.501,48392,10.1959,425472,89.6446,258447,54.4533,427664,90.1064,13279,2.7978,272057,57.3209,114078,24.0356,474621,100,474609,99.9975,11226,2.3653,474621,100,472614,99.5771,886,0.1867,25782,5.4321,26187,5.5175,474621,100,474621,100,474621,100,462836,97.517,462829,97.5155,418563,88.1889,275892,58.1289,356835,75.1831,469044,98.825,249974,52.6681,254339,53.5878,254276,53.5745
202004,TX,18189952,100,18189952,100,17943462,98.6449,2728807,15.0017,15541515,85.4401,9076767,49.8999,15589331,85.703,636384,3.4985,10577627,58.1509,4352247,23.9267,18189822,99.9993,18187242,99.9851,1982660,10.8998,18189651,99.9983,16706185,91.8429,227941,1.2531,435723,2.3954,441056,2.4247,18189893,99.9997,18189952,100,18181072,99.9512,16926822,93.0559,16926705,93.0552,9942603,54.6599,7820873,42.9956,10226234,56.2191,18131442,99.6783,11103944,61.0444,11103928,61.0443,11104259,61.0461
