COUNTRY,CNTRY_ISO,LEVEL,POSTCODE COUNT,Version
Afghanistan,AFG,4,398,2020.12
Albania,ALB,2,33,2020.12
Algeria,DZA,5,2247,2020.12
American Samoa,ASM,5,1,2020.12
Andorra,AND,5,7,2020.12
Angola,AGO,0,1,2020.12
Anguilla,AIA,6,1,2020.12
Antarctica,ATA,0,1,2020.12
Antigua and Barbuda,ATG,0,1,2020.12
Argentina,ARG,5,2075,2020.12
Armenia,ARM,2,42,2020.12
Aruba,ABW,0,1,2020.12
Australia,AUS,4,2668,2020.12
Austria,AUT,4,2220,2020.12
Azerbaijan,AZE,2,75,2020.12
Bahamas,BHS,0,1,2020.12
Bahrain,BHR,2,12,2020.12
Bangladesh,BGD,2,74,2020.12
Barbados,BRB,0,1,2020.12
Belarus,BLR,6,2966,2020.12
Belgium,BEL,4,1146,2020.12
Belize,BLZ,0,1,2020.12
Benin,BEN,0,1,2020.12
Bermuda,BMU,4,80,2020.12
Bhutan,BTN,2,20,2020.12
Bolivia,BOL,0,1,2020.12
Bonaire Sint Eustatius and Saba,BES,0,1,2020.12
Bosnia and Herzegovina,BIH,5,560,2020.12
Botswana,BWA,0,1,2020.12
Bouvet Island,BVT,0,1,2020.12
Brazil,BRA,5,17892,2020.12
British Indian Ocean Territory,IOT,s,1,2020.12
British Virgin Islands,VGB,4,6,2020.12
Brunei Darussalam,BRN,2,34,2020.12
Brunei Darussalam,BRN,6,400,2020.12
Bulgaria,BGR,4,4668,2020.12
Burkina Faso,BFA,0,1,2020.12
Burundi,BDI,0,1,2020.12
Cabo Verde,CPV,4,32,2020.12
Cambodia,KHM,2,25,2020.12
Cameroon,CMR,0,1,2020.12
Canada,CAN,3,1662,2020.12
Cayman Islands,CYM,s,15,2020.12
Central African Republic,CAF,0,1,2020.12
Chad,TCD,0,1,2020.12
Chile,CHL,3,345,2020.12
China,CHN,4,2454,2020.12
Christmas Island,CXR,4,1,2020.12
Cocos (Keeling) Islands,CCK,4,1,2020.12
Colombia,COL,4,324,2020.12
Comoros,COM,0,1,2020.12
Cook Islands,COK,0,1,2020.12
Costa Rica,CRI,5,483,2020.12
Croatia,HRV,5,857,2020.12
Cuba,CUB,0,1,2020.12
Curaçao,CUW,0,1,2020.12
Cyprus,CYP,4,1094,2020.12
Czechia,CZE,5,2670,2020.12
Democratic Republic of the Congo,COD,0,1,2020.12
Denmark,DNK,4,1090,2020.12
Djibouti,DJI,0,1,2020.12
Dominica,DMA,0,1,2020.12
Dominican Republic,DOM,5,545,2020.12
Ecuador,ECU,6,1225,2020.12
Egypt,EGY,2,27,2020.12
El Salvador,SLV,4,1,2020.12
Equatorial Guinea,GNQ,0,1,2020.12
Eritrea,ERI,0,1,2020.12
Estonia,EST,5,5387,2020.12
Ethiopia,ETH,0,1,2020.12
Falkland Islands,FLK,s,1,2020.12
Faroe Islands,FRO,3,118,2020.12
Fiji,FJI,0,1,2020.12
Finland,FIN,5,3028,2020.12
France,FRA,5,6051,2020.12
French Guiana,GUF,5,25,2020.12
French Polynesia,PYF,5,83,2020.12
