COUNTRY,ISO,TOTAL,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,SEA/OCEAN,Version
Angola,AGO,2418,1,18,164,0,2056,177,2,2020.12
Burundi,BDI,545,1,18,119,0,392,15,0,2020.12
Benin,BEN,750,1,12,77,0,514,145,1,2020.12
Burkina Faso,BFA,1632,1,13,45,351,1169,53,0,2020.12
Botswana,BWA,525,1,9,28,0,372,115,0,2020.12
Central African Republic,CAF,1227,1,17,72,168,969,0,0,2020.12
Cote d’Ivoire,CIV,4291,1,14,31,107,497,3631,10,2020.12
Cameroon,CMR,501,1,10,58,6,425,0,1,2020.12
Democratic Republic of Congo,COD,12156,1,26,50,189,68,11821,1,2020.12
Republic of Congo,COG,214,1,0,12,1,199,0,1,2020.12
Comoros,COM,174,1,3,0,0,169,0,1,2020.12
Cape Verde,CPV,256,1,9,22,32,191,0,1,2020.12
Djibouti,DJI,30,1,6,0,0,22,0,1,2020.12
Algeria,DZA,4009,1,48,548,1541,229,1641,1,2020.12
Egypt,EGY,25389,1,27,366,203,7612,17168,12,2020.12
Eritrea,ERI,431,1,6,54,0,369,0,1,2020.12
Ethiopia,ETH,1507,1,11,85,0,1410,0,0,2020.12
Gabon,GAB,433,1,9,48,17,357,0,1,2020.12
Ghana,GHA,2421,1,16,253,0,1852,298,1,2020.12
Guinea,GIN,2522,1,8,34,340,30,2108,1,2020.12
Gambia,GMB,141,1,8,43,0,88,0,1,2020.12
Guinea Bissau,GNB,144,1,9,39,0,94,0,1,2020.12
Equatorial Guinea,GNQ,142,1,2,7,32,99,0,1,2020.12
Kenya,KEN,1578,1,47,290,881,164,194,1,2020.12
Liberia,LBR,387,1,15,136,136,98,0,1,2020.12
Libya,LBY,452,1,22,0,5,423,0,1,2020.12
Lesotho,LSO,2834,1,10,78,5,2740,0,0,2020.12
Morocco,MAR,3285,1,12,76,1528,1663,0,5,2020.12
Madagascar,MDG,2373,1,22,113,1530,706,0,1,2020.12
Mali,MLI,1140,1,11,54,1,1073,0,0,2020.12
Mozambique,MOZ,1054,1,11,161,813,67,0,1,2020.12
Mauritania,MRT,253,1,15,53,0,173,10,1,2020.12
Mauritius,MUS,698,1,5,10,158,522,0,2,2020.12
Malawi,MWI,1881,1,3,28,1737,112,0,0,2020.12
Mayotte,MYT,89,1,17,0,0,70,0,1,2020.12
Namibia,NAM,936,1,14,121,139,660,0,1,2020.12
Niger,NER,2299,1,8,0,27,2263,0,0,2020.12
