COUNTRY,ISO,TOTAL,LEVEL1(geotag),LEVEL2(geotag),LEVEL3(geotag),LEVEL4(geotag),LEVEL5(geotag),LEVEL6(geotag),SEA/OCEAN(geotag),Version
Angola,AGO,2403,1,6,163,0,2054,177,2,2020.12
Burundi,BDI,532,1,7,119,0,390,15,0,2020.12
Benin,BEN,736,1,0,76,0,513,145,1,2020.12
Burkina Faso,BFA,1585,1,6,9,351,1165,53,0,2020.12
Botswana,BWA,515,1,0,28,0,371,115,0,2020.12
Central African Republic,CAF,1156,1,6,12,168,969,0,0,2020.12
Cote d’Ivoire,CIV,4180,1,0,1,40,497,3631,10,2020.12
Cameroon,CMR,490,1,1,58,4,425,0,1,2020.12
Democratic Republic of Congo,COD,12086,1,17,6,173,67,11821,1,2020.12
Republic of Congo,COG,214,1,0,12,1,199,0,1,2020.12
Comoros,COM,173,0,3,0,0,169,0,1,2020.12
Cape Verde,CPV,234,1,9,0,32,191,0,1,2020.12
Djibouti,DJI,30,1,6,0,0,22,0,1,2020.12
Algeria,DZA,3395,1,24,19,1522,187,1641,1,2020.12
Egypt,EGY,24336,1,4,159,22,6970,17168,12,2020.12
Eritrea,ERI,425,1,0,54,0,369,0,1,2020.12
Ethiopia,ETH,1499,1,3,85,0,1410,0,0,2020.12
Gabon,GAB,428,1,4,48,17,357,0,1,2020.12
Ghana,GHA,2358,1,0,243,0,1815,298,1,2020.12
Guinea,GIN,2484,1,0,9,338,27,2108,1,2020.12
Gambia,GMB,138,0,8,41,0,88,0,1,2020.12
Guinea Bissau,GNB,136,1,1,39,0,94,0,1,2020.12
Equatorial Guinea,GNQ,136,1,0,3,32,99,0,1,2020.12
Kenya,KEN,1480,1,6,278,862,138,194,1,2020.12
Liberia,LBR,328,1,2,90,136,98,0,1,2020.12
Libya,LBY,452,1,22,0,5,423,0,1,2020.12
Lesotho,LSO,2829,1,9,76,3,2740,0,0,2020.12
Morocco,MAR,3186,1,2,8,1507,1663,0,5,2020.12
Madagascar,MDG,2234,1,0,0,1526,706,0,1,2020.12
Mali,MLI,1133,1,4,54,1,1073,0,0,2020.12
Mozambique,MOZ,1047,1,7,161,810,67,0,1,2020.12
Mauritania,MRT,241,1,4,53,0,172,10,1,2020.12
Mauritius,MUS,692,0,5,6,157,522,0,2,2020.12
Malawi,MWI,1868,0,1,28,1727,112,0,0,2020.12
Mayotte,MYT,88,0,17,0,0,70,0,1,2020.12
Namibia,NAM,885,1,7,118,99,659,0,1,2020.12
Niger,NER,2298,1,8,0,26,2263,0,0,2020.12
Nigeria,NGA,6110,1,0,758,0,4821,529,1,2020.12
La Reunion,REU,419,0,0,24,0,394,0,1,2020.12
Rwanda,RWA,1279,1,0,0,381,666,231,0,2020.12
Sudan,SDN,1542,1,18,0,0,1522,0,1,2020.12
Senegal,SEN,3789,1,1,1,95,3645,45,1,2020.12
Saint Helena,SHN,12,0,3,8,0,0,0,1,2020.12
Sierra Leone,SLE,715,1,1,7,166,539,0,1,2020.12
Somalia,SOM,654,1,18,0,0,634,0,1,2020.12
South Sudan,SSD,456,1,5,78,0,372,0,0,2020.12
São Tomé and Príncipe,STP,33,1,0,7,0,24,0,1,2020.12
Swaziland,SWZ,441,1,2,59,7,372,0,0,2020.12
Seychelles,SYC,81,0,26,0,0,54,0,1,2020.12
Chad,TCD,1709,1,0,3,348,1357,0,0,2020.12
Togo,TGO,123,0,5,39,1,77,0,1,2020.12
Tunisia,TUN,1270,1,13,253,121,880,0,2,2020.12
Tanzania,TZA,1968,1,15,195,17,1566,170,4,2020.12
Uganda,UGA,1208,1,3,2,201,817,184,0,2020.12
South Africa,ZAF,23998,1,0,0,213,7933,15847,4,2020.12
Zambia,ZMB,984,1,7,105,10,861,0,0,2020.12
Zimbabwe,ZWE,1674,1,0,59,1217,397,0,0,2020.12
Antarctica,ATA,1,1,0,0,0,0,0,0,2020.12
French Southern Territories,ATF,1,1,0,0,0,0,0,0,2020.12
Bouvet Island,BVT,1,1,0,0,0,0,0,0,2020.12
Heard and McDonald Islands,HMD,1,1,0,0,0,0,0,0,2020.12
South Georgia and the South Sandwich Islands,SGS,1,1,0,0,0,0,0,0,2020.12
Afghanistan,AFG,590,1,15,398,0,176,0,0,2020.12
United Arab Emirates,ARE,1187,1,6,20,395,764,0,1,2020.12
Armenia,ARM,131,1,11,0,119,0,0,0,2020.12
Azerbaijan,AZE,354,1,1,69,282,0,0,1,2020.12
Bangladesh,BGD,716,1,7,32,526,149,0,1,2020.12
Bahrain,BHR,367,1,4,22,339,0,0,1,2020.12
Brunei,BRN,596,1,2,15,358,219,0,1,2020.12
Bhutan,BTN,22,1,20,0,1,0,0,0,2020.12
People’s Republic of China,CHN,3383,1,15,54,2848,0,436,29,2020.12
Hong Kong,HKG,726,1,18,134,0,515,0,58,2020.12
Indonesia,IDN,51018,3,0,337,2626,245,47798,9,2020.12
India,IND,29249,1,11,49,6349,349,22466,24,2020.12
British Indian Ocean Territory,IOT,8,1,0,0,0,0,0,7,2020.12
Iran,IRN,888,1,12,429,5,431,0,10,2020.12
Iraq,IRQ,246,1,4,120,31,89,0,1,2020.12
Israel,ISR,2127,1,6,0,1135,0,983,2,2020.12
Jordan,JOR,450,1,2,0,86,25,335,1,2020.12
Japan,JPN,117779,7,12,0,6,117731,0,23,2020.12
Kazakhstan,KAZ,3540,2,3,137,2469,928,0,1,2020.12
Kyrgyzstan,KGZ,203,1,2,54,0,146,0,0,2020.12
Cambodia,KHM,1754,0,4,17,1559,173,0,1,2020.12
Korea (South),KOR,1221,1,9,215,0,2,993,1,2020.12
Kuwait,KWT,842,1,0,0,45,795,0,1,2020.12
Laos,LAO,177,1,2,148,26,0,0,0,2020.12
Lebanon,LBN,2659,1,1,4,1405,1246,0,2,2020.12
Sri Lanka,LKA,471,1,0,0,331,89,49,1,2020.12
Macao,MAC,19,1,5,0,0,7,0,6,2020.12
Maldives,MDV,415,1,20,393,0,0,0,1,2020.12
Myanmar,MMR,564,1,5,3,325,229,0,1,2020.12
Mongolia,MNG,377,1,6,339,31,0,0,0,2020.12
Malaysia,MYS,1754,1,7,117,903,593,125,8,2020.12
Nepal,NPL,97,1,6,77,13,0,0,0,2020.12
Oman,OMN,200,1,4,61,4,128,0,2,2020.12
Pakistan,PAK,418,1,5,133,4,273,0,2,2020.12
Philippines,PHL,44404,3,0,0,1131,105,43161,4,2020.12
Korea (North),PRK,86,0,11,0,0,73,0,2,2020.12
Palestine,PSE,33,1,2,16,14,0,0,0,2020.12
Qatar,QAT,128,1,0,90,36,0,0,1,2020.12
Russia,RUS,147242,1,3,27,99,20098,126977,37,2020.12
Saudi Arabia,SAU,3104,1,8,147,244,2700,0,4,2020.12
