Field,Description,Population,Purchasing Power,Sociodemographics,Retail Spending,Retail Turnover,Retail Centrality,Consumer Spending,MB-International Consumer Styles,Households by Income Quintiles,Marital Status
CTRYCODE,Two digit country code by ISO 3166,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
ADMINCODE / POSTCODE / MICROCODE,Administrative code / Postal code / Micro-code,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
NAME,Name of administrative area / Name of the most populous administrative area / Name of the respective micro-area or the next higher level,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
P_T,Population year average: total number,YES,YES,YES,YES,YES,YES,YES,,YES,YES
P_PRM,Population year average: per mill of country,YES,YES,YES,YES,YES,YES,YES,,YES,YES
PP_MIO,Purchasing Power: million Euro,,YES,,,,,,,,
PP_PRM,Purchasing Power: per mill of country,,YES,,,,,,,,
PP_EURO,Purchasing Power: Euro per capita,,YES,,,,,,,,
PP_CI,Purchasing Power: index (country eq.100),,YES,,,,,,,,
HH_T,Households: total number,,,YES,,,,,,,
MALE,Population: males,,,YES,,,,,,,
FEMALE,Population: females,,,YES,,,,,,,
AGE_T0014,"Population by age: 0 - 14 years, total",,,YES,,,,,,,
AGE_M0014,"Population by age: 0 - 14 years, male",,,YES,,,,,,,
AGE_F0014,"Population by age: 0 - 14 years, female",,,YES,,,,,,,
AGE_T1529,"Population by age: 15 - 29 years, total",,,YES,,,,,,,
AGE_M1529,"Population by age: 15 - 29 years, male",,,YES,,,,,,,
AGE_F1529,"Population by age: 15 - 29 years, female",,,YES,,,,,,,
AGE_T3044,"Population by age: 30 - 44 years, total",,,YES,,,,,,,
AGE_M3044,"Population by age: 30 - 44 years, male",,,YES,,,,,,,
AGE_F3044,"Population by age: 30 - 44 years, female",,,YES,,,,,,,
AGE_T4559,"Population by age: 45 - 59 years, total",,,YES,,,,,,,
AGE_M4559,"Population by age: 45 - 59 years, male",,,YES,,,,,,,
AGE_F4559,"Population by age: 45 - 59 years, female",,,YES,,,,,,,
AGE_T60PL,"Population by age: 60 years and above, total",,,YES,,,,,,,
AGE_M60PL,"Population by age: 60 years and above, male",,,YES,,,,,,,
AGE_F60PL,"Population by age: 60 years and above, female",,,YES,,,,,,,
UNEMPL,Unemployed persons,,,YES,,,,,,,
RS_MIO,Retail Spending: million Euro,,,,YES,,,,,,
RS_PRM,Retail Spending: per mill of country,,,,YES,,,,,,
RS_EURO,Retail Spending: Euro per capita,,,,YES,,,,,,
RS_CI,Retail Spending: index (country eq.100),,,,YES,,,,,,
RT_MIO,Retail Turnover: million Euro,,,,,YES,,,,,
RT_PRM,Retail Turnover: per mill of country,,,,,YES,,,,,
RT_EURO,Retail Turnover: Euro per capita,,,,,YES,,,,,
RT_CI,Retail Turnover: index (country eq.100),,,,,YES,,,,,
RS_MIO,Retail Spending: million Euro,,,,,,YES,,,,
RS_PRM,Retail Spending: per mill of country,,,,,,YES,,,,
RS_EURO,Retail Spending: Euro per capita,,,,,,YES,,,,
RS_CI,Retail Spending: index (country eq.100),,,,,,YES,,,,
RT_MIO,Retail Turnover: million Euro,,,,,,YES,,,,
RT_PRM,Retail Turnover: per mill of country,,,,,,YES,,,,
RT_EURO,Retail Turnover: Euro per capita,,,,,,YES,,,,
RT_CI,Retail Turnover: index (country eq.100),,,,,,YES,,,,
CENTRA,Retail Centrality: index (country eq.100),,,,,,YES,,,,
CSP01_MIO,Consumer Spending - Food and non-alcoholic beverages: million Euro,,,,,,,YES,,,
CSP01_PRM,Consumer Spending - Food and non-alcoholic beverages: per mill of country,,,,,,,YES,,,
CSP01_EURO,Consumer Spending - Food and non-alcoholic beverages: Euro per capita,,,,,,,YES,,,
CSP01_CI,Consumer Spending - Food and non-alcoholic beverages: index (country eq. 100),,,,,,,YES,,,
CSP02_MIO,Consumer Spending - Alcoholic beverages: million Euro,,,,,,,YES,,,
CSP02_PRM,Consumer Spending - Alcoholic beverages: per mill of country,,,,,,,YES,,,
CSP02_EURO,Consumer Spending - Alcoholic beverages: Euro per capita,,,,,,,YES,,,
CSP02_CI,Consumer Spending - Alcoholic beverages: index (country eq. 100),,,,,,,YES,,,
CSP03_MIO,Consumer Spending - Tobacco: million Euro,,,,,,,YES,,,
CSP03_PRM,Consumer Spending - Tobacco: per mill of country,,,,,,,YES,,,
CSP03_EURO,Consumer Spending - Tobacco: Euro per capita,,,,,,,YES,,,
CSP03_CI,Consumer Spending - Tobacco: index (country eq. 100),,,,,,,YES,,,
CSP04_MIO,Consumer Spending - Clothing: million Euro,,,,,,,YES,,,
CSP04_PRM,Consumer Spending - Clothing: per mill of country,,,,,,,YES,,,
CSP04_EURO,Consumer Spending - Clothing: Euro per capita,,,,,,,YES,,,
CSP04_CI,Consumer Spending - Clothing: index (country eq. 100),,,,,,,YES,,,
CSP05_MIO,Consumer Spending - Footwear: million Euro,,,,,,,YES,,,
CSP05_PRM,Consumer Spending - Footwear: per mill of country,,,,,,,YES,,,
CSP05_EURO,Consumer Spending - Footwear: Euro per capita,,,,,,,YES,,,
CSP05_CI,Consumer Spending - Footwear: index (country eq. 100),,,,,,,YES,,,
CSP06_MIO,"Consumer Spending - Furniture and furnishings, carpets and other floor coverings : million Euro",,,,,,,YES,,,
CSP06_PRM,"Consumer Spending - Furniture and furnishings, carpets and other floor coverings : per mill of country",,,,,,,YES,,,
CSP06_EURO,"Consumer Spending - Furniture and furnishings, carpets and other floor coverings : Euro per capita",,,,,,,YES,,,
CSP06_CI,"Consumer Spending - Furniture and furnishings, carpets and other floor coverings : index (country eq. 100)",,,,,,,YES,,,
CSP07_MIO,Consumer Spending - Household textiles: million Euro,,,,,,,YES,,,
CSP07_PRM,Consumer Spending - Household textiles: per mill of country,,,,,,,YES,,,
CSP07_EURO,Consumer Spending - Household textiles: Euro per capita,,,,,,,YES,,,
CSP07_CI,Consumer Spending - Household textiles: index (country eq. 100),,,,,,,YES,,,
CSP08_MIO,Consumer Spending - Household appliances: million Euro,,,,,,,YES,,,
CSP08_PRM,Consumer Spending - Household appliances: per mill of country,,,,,,,YES,,,
CSP08_EURO,Consumer Spending - Household appliances: Euro per capita,,,,,,,YES,,,
CSP08_CI,Consumer Spending - Household appliances: index (country eq. 100),,,,,,,YES,,,
CSP09_MIO,"Consumer Spending - Glassware, tableware and household utensils: million Euro",,,,,,,YES,,,
CSP09_PRM,"Consumer Spending - Glassware, tableware and household utensils: per mill of country",,,,,,,YES,,,
CSP09_EURO,"Consumer Spending - Glassware, tableware and household utensils: Euro per capita",,,,,,,YES,,,
CSP09_CI,"Consumer Spending - Glassware, tableware and household utensils: index (country eq. 100)",,,,,,,YES,,,
CSP10_MIO,Consumer Spending - Tools and equipment for house and garden: million Euro,,,,,,,YES,,,
CSP10_PRM,Consumer Spending - Tools and equipment for house and garden: per mill of country,,,,,,,YES,,,
CSP10_EURO,Consumer Spending - Tools and equipment for house and garden: Euro per capita,,,,,,,YES,,,
CSP10_CI,Consumer Spending - Tools and equipment for house and garden: index (country eq. 100),,,,,,,YES,,,
CSP11_MIO,Consumer Spending - Routine household maintenance: million Euro,,,,,,,YES,,,
CSP11_PRM,Consumer Spending - Routine household maintenance: per mill of country,,,,,,,YES,,,
CSP11_EURO,Consumer Spending - Routine household maintenance: Euro per capita,,,,,,,YES,,,
CSP11_CI,Consumer Spending - Routine household maintenance: index (country eq. 100),,,,,,,YES,,,
CSP12_MIO,"Consumer Spending - Medical products, appliances and equipment: million Euro",,,,,,,YES,,,
CSP12_PRM,"Consumer Spending - Medical products, appliances and equipment: per mill of country",,,,,,,YES,,,
CSP12_EURO,"Consumer Spending - Medical products, appliances and equipment: Euro per capita",,,,,,,YES,,,
