State_Name,State_Code,COUNT,No of Household,Total population Person,Total population Male,Total population Female,Population in the age group 0-6 Person,Population in the age group 0-6 Male,Population in the age group 0-6 Female,Scheduled Castes population Person,Scheduled Castes population Male,Scheduled Castes population Female,Scheduled Tribes population Person,Scheduled Tribes population Male,Scheduled Tribes population Female,Literates population Person,Literates population Male,Literates population Female,Illiterate Persons,Illiterate Male,Illiterate Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Non Working Population Person,Non Working Population Male,Non Working Population Female,Main Working Population Person,Main Working Population Male,Main Working Population Female,Marginal Worker Population Person,Marginal Worker Population Male,Marginal Worker Population Female,Marginal Worker Population 3-6 Person,Marginal Worker Population 3-6 Male,Marginal Worker Population 3-6 Female,Marginal Worker Population 0-3 Person,Marginal Worker Population 0-3 Male,Marginal Worker Population 0-3 Female,Main Cultivator Population Person,Main Cultivator Population Male,Main Cultivator Population Female,Main Agricultural Labourers Population Person,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Female,Main Household Industries Population Person,Main Household Industries Population Male,Main Household Industries Population Female,Main Other Workers Population Person,Main Other Workers Population Male,Main Other Workers Population Female,Marginal Cultivator Population Person,Marginal Cultivator Population Male,Marginal Cultivator Population Female,Marginal Agriculture Labourers Population Person,Marginal Agriculture Labourers Population Male,Marginal Agriculture Labourers Population Female,Marginal Household Industries Population Person,Marginal Household Industries Population Male,Marginal Household Industries Population Female,Marginal Other Workers Population Person,Marginal Other Workers Population Male,Marginal Other Workers Population Female,Marginal Cultivator Population 3-6 Person,Marginal Cultivator Population 3-6 Male,Marginal Cultivator Population 3-6 Female,Marginal Agriculture Labourers Population 3-6 Person,Marginal Agriculture Labourers Population 3-6 Male,Marginal Agriculture Labourers Population 3-6 Female,Marginal Household Industries Population 3-6 Person,Marginal Household Industries Population 3-6 Male,Marginal Household Industries Population 3-6 Female,Marginal Other Workers Population Person 3-6 Person,Marginal Other Workers Population Person 3-6 Male,Marginal Other Workers Population Person 3-6 Female,Marginal Cultivator Population 0-3 Person,Marginal Cultivator Population 0-3 Male,Marginal Cultivator Population 0-3 Female,Marginal Agriculture Labourers Population 0-3 Person,Marginal Agriculture Labourers Population 0-3 Male,Marginal Agriculture Labourers Population 0-3 Female,Marginal Household Industries Population 0-3 Person,Marginal Household Industries Population 0-3 Male,Marginal Household Industries Population 0-3 Female,Marginal Other Workers Population 0-3 Person,Marginal Other Workers Population 0-3 Male,Marginal Other Workers Population 0-3 Female
Andaman & Nicobar Island,35,5,36021,143488,76584,66904,14463,7400,7063,0,0,0,1815,894,921,116256,64417,51839,27232,12167,15065,58066,46219,11847,85422,30365,55057,53544,43208,10336,4522,3011,1511,3903,2576,1327,619,435,184,291,252,39,118,99,19,373,252,121,52762,42605,10157,91,47,44,43,31,12,74,37,37,4314,2896,1418,86,44,42,39,29,10,68,33,35,3710,2470,1240,5,3,2,4,2,2,6,4,2,604,426,178
Andhra Pradesh,28,211,3529314,14117298,7043522,7073776,1410747,727141,683606,1608655,786558,822097,313869,158887,154982,10076289,5376740,4699549,4041009,1666782,2374227,5161622,3904005,1257617,8955676,3139517,5816159,4552565,3566592,985973,609057,337413,271644,524442,291596,232846,84615,45817,38798,91624,77712,13912,404164,244518,159646,216919,134623,82296,3839858,3109739,730119,12306,6825,5481,111639,49060,62579,46242,18293,27949,438870,263235,175635,11709,6445,5264,95600,42474,53126,36908,14538,22370,380225,228139,152086,597,380,217,16039,6586,9453,9334,3755,5579,58645,35096,23549
Arunachal Pradesh,12,21,56588,249598,130126,119472,31239,15970,15269,0,0,0,119851,57770,62081,180699,100414,80285,68899,29712,39187,89749,64394,25355,159849,65732,94117,76439,57363,19076,13310,7031,6279,11844,6154,5690,1466,877,589,2400,1482,918,1248,778,470,1217,750,467,71574,54353,17221,757,364,393,947,521,426,884,336,548,10722,5810,4912,628,307,321,763,404,359,771,284,487,9682,5159,4523,129,57,72,184,117,67,113,52,61,1040,651,389
Assam,18,104,427717,1872276,962123,910153,193867,99652,94215,162594,82819,79775,62817,31620,31197,1489538,793756,695782,382738,168367,214371,680907,543944,136963,1191369,418179,773190,581579,486969,94610,99328,56975,42353,85318,48683,36635,14010,8292,5718,13429,12103,1326,8100,6714,1386,14867,10618,4249,545183,457534,87649,4165,2402,1763,6483,3775,2708,9937,3158,6779,78743,47640,31103,3505,2027,1478,5070,3001,2069,7509,2332,5177,69234,41323,27911,660,375,285,1413,774,639,2428,826,1602,9509,6317,3192
Bihar,10,199,2045563,11732895,6190996,5541899,1747181,913915,833266,1216937,638667,578270,64933,33587,31346,7674113,4355903,3318210,4058782,1835093,2223689,3358377,2779824,578553,8374518,3411172,4963346,2629642,2277537,352105,728735,502287,226448,624741,434926,189815,103994,67361,36633,151491,136707,14784,311405,259851,51554,154547,117039,37508,2012199,1763940,248259,36534,24627,11907,201929,136739,65190,63294,34783,28511,426978,306138,120840,31941,21908,10033,167489,116914,50575,49817,28286,21531,375494,267818,107676,4593,2719,1874,34440,19825,14615,13477,6497,6980,51484,38320,13164
Chandigarh,4,6,231600,1017444,558091,459353,114051,60672,53379,192846,102866,89980,0,0,0,778440,448104,330336,239004,109987,129017,387859,314121,73738,629585,243970,385615,370681,303706,66975,17178,10415,6763,14389,8622,5767,2789,1793,996,1636,1398,238,1227,1026,201,4077,3181,896,363741,298101,65640,350,178,172,250,190,60,563,204,359,16015,9843,6172,335,171,164,221,167,54,409,147,262,13424,8137,5287,15,7,8,29,23,6,154,57,97,2591,1706,885
Chhattisgarh,22,189,1260544,5825909,2978018,2847891,721358,372265,349093,741565,372578,368987,577663,289072,288591,4291816,2360665,1931151,1534093,617353,916740,2077716,1581481,496235,3748193,1396537,2351656,1842279,1456396,385883,235437,125085,110352,190092,102110,87982,45345,22975,22370,79226,58346,20880,110758,64896,45862,56298,39614,16684,1595997,1293540,302457,22535,9541,12994,81371,33712,47659,8522,4008,4514,123009,77824,45185,17530,7659,9871,67246,28639,38607,6699,3177,3522,98617,62635,35982,5005,1882,3123,14125,5073,9052,1823,831,992,24392,15189,9203
Dadra & Nagar Haveli,26,6,40364,160595,95455,65140,22391,11964,10427,4890,2568,2322,27620,13795,13825,124088,78471,45617,36507,16984,19523,73038,63490,9548,87557,31965,55592,68088,60886,7202,4950,2604,2346,4409,2249,2160,541,355,186,1657,1388,269,728,446,282,589,457,132,65114,58595,6519,367,148,219,502,115,387,250,107,143,3831,2234,1597,311,129,182,453,103,350,227,99,128,3418,1918,1500,56,19,37,49,12,37,23,8,15,413,316,97
Daman & Diu,25,8,48212,182851,117906,64945,19496,10295,9201,3957,2043,1914,7746,3928,3818,145317,99114,46203,37534,18792,18742,97968,88572,9396,84883,29334,55549,95000,86483,8517,2968,2089,879,2076,1362,714,892,727,165,596,523,73,170,138,32,261,201,60,93973,85621,8352,66,31,35,51,31,20,91,19,72,2760,2008,752,60,25,35,37,22,15,82,17,65,1897,1298,599,6,6,0,14,9,5,9,2,7,863,710,153
Delhi,7,137,3190993,15616342,8369078,7247264,1880562,1004977,875585,2639278,1400378,1238900,0,0,0,11837608,6698924,5138684,3778734,1670154,2108580,5173648,4427587,746061,10442694,3941491,6501203,4926591,4250019,676572,247057,177568,69489,207209,148470,58739,39848,29098,10750,15710,13753,1957,23959,19662,4297,156590,135643,20947,4730332,4080961,649371,3631,2213,1418,5426,3972,1454,11191,5964,5227,226809,165419,61390,3425,2072,1353,4453,3248,1205,8748,4799,3949,190583,138351,52232,206,141,65,973,724,249,2443,1165,1278,36226,27068,9158
