State_Name,State_Code,COUNT,No of Household,Total population Person,Total population Male,Total population Female,Population in the age group 0-6 Person,Population in the age group 0-6 Male,Population in the age group 0-6 Female,Scheduled Castes population Person,Scheduled Castes population Male,Scheduled Castes population Female,Scheduled Tribes population Person,Scheduled Tribes population Male,Scheduled Tribes population Female,Literates population Person,Literates population Male,Literates population Female,Illiterate Persons,Illiterate Male,Illiterate Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Non Working Population Person,Non Working Population Male,Non Working Population Female,Main Working Population Person,Main Working Population Male,Main Working Population Female,Marginal Worker Population Person,Marginal Worker Population Male,Marginal Worker Population Female,Marginal Worker Population 3-6 Person,Marginal Worker Population 3-6 Male,Marginal Worker Population 3-6 Female,Marginal Worker Population 0-3 Person,Marginal Worker Population 0-3 Male,Marginal Worker Population 0-3 Female,Main Cultivator Population Person,Main Cultivator Population Male,Main Cultivator Population Female,Main Agricultural Labourers Population Person,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Female,Main Household Industries Population Person,Main Household Industries Population Male,Main Household Industries Population Female,Main Other Workers Population Person,Main Other Workers Population Male,Main Other Workers Population Female,Marginal Cultivator Population Person,Marginal Cultivator Population Male,Marginal Cultivator Population Female,Marginal Agriculture Labourers Population Person,Marginal Agriculture Labourers Population Male,Marginal Agriculture Labourers Population Female,Marginal Household Industries Population Person,Marginal Household Industries Population Male,Marginal Household Industries Population Female,Marginal Other Workers Population Person,Marginal Other Workers Population Male,Marginal Other Workers Population Female,Marginal Cultivator Population 3-6 Person,Marginal Cultivator Population 3-6 Male,Marginal Cultivator Population 3-6 Female,Marginal Agriculture Labourers Population 3-6 Person,Marginal Agriculture Labourers Population 3-6 Male,Marginal Agriculture Labourers Population 3-6 Female,Marginal Household Industries Population 3-6 Person,Marginal Household Industries Population 3-6 Male,Marginal Household Industries Population 3-6 Female,Marginal Other Workers Population Person 3-6 Person,Marginal Other Workers Population Person 3-6 Male,Marginal Other Workers Population Person 3-6 Female,Marginal Cultivator Population 0-3 Person,Marginal Cultivator Population 0-3 Male,Marginal Cultivator Population 0-3 Female,Marginal Agriculture Labourers Population 0-3 Person,Marginal Agriculture Labourers Population 0-3 Male,Marginal Agriculture Labourers Population 0-3 Female,Marginal Household Industries Population 0-3 Person,Marginal Household Industries Population 0-3 Male,Marginal Household Industries Population 0-3 Female,Marginal Other Workers Population 0-3 Person,Marginal Other Workers Population 0-3 Male,Marginal Other Workers Population 0-3 Female
Andaman & Nicobar Island,35,366,91727,369135,196689,172446,39573,20103,19470,0,0,0,26406,13620,12786,285553,159447,126106,83582,37242,46340,147959,117160,30799,221176,79529,141647,122254,100528,21726,25705,16632,9073,20529,13443,7086,5176,3189,1987,12649,10527,2122,2528,2201,327,1364,946,418,105713,86854,18859,3506,1801,1705,1977,1322,655,2295,1273,1022,17927,12236,5691,2831,1551,1280,1517,1050,467,1769,1005,764,14412,9837,4575,675,250,425,460,272,188,526,268,258,3515,2399,1116
Andhra Pradesh,28,17292,12540462,48893999,24489437,24404562,5172220,2660648,2511572,8359223,4164884,4194339,2606477,1296986,1309491,29437715,16320563,13117152,19456284,8168874,11287410,22774822,14313242,8461580,26119177,10176195,15942982,19057892,12762330,6295562,3716930,1550912,2166018,3200819,1350296,1850523,516111,200616,315495,3063589,2226048,837541,8516294,4664546,3851748,521435,318247,203188,6956574,5553489,1403085,244688,99708,144980,2412149,872223,1539926,132302,48185,84117,927791,530796,396995,208786,84149,124637,2094472,767395,1327077,105780,38871,66909,791781,459881,331900,35902,15559,20343,317677,104828,212849,26522,9314,17208,136010,70915,65095
Arunachal Pradesh,12,3292,186312,940797,483681,457116,144616,73318,71298,84,46,38,632286,311821,320465,520970,297454,223516,419827,186227,233600,397415,237128,160287,543382,246553,296829,324718,204027,120691,72697,33101,39596,58932,26885,32047,13765,6216,7549,168991,89004,79987,12172,7200,4972,3590,2096,1494,139965,105727,34238,35782,15299,20483,10684,4242,6442,2290,909,1381,23941,12651,11290,27912,12056,15856,8602,3319,5283,1737,686,1051,20681,10824,9857,7870,3243,4627,2082,923,1159,553,223,330,3260,1827,1433
Assam,18,13457,3926773,18998543,9702630,9295913,2810194,1432014,1378180,1372242,703383,668859,1767627,887843,879784,11750124,6459650,5290474,7248419,3242980,4005439,7211147,5212049,1999098,11787396,4490581,7296815,5256284,4299992,956292,1954863,912057,1042806,1606917,758969,847948,347946,153088,194858,1804699,1588845,215854,580147,460031,120116,151878,94369,57509,2719560,2156747,562813,490269,221671,268598,576399,265391,311008,162722,37986,124736,725473,387009,338464,396376,181899,214477,473315,219711,253604,126263,29666,96597,610963,327693,283270,93893,39772,54121,103084,45680,57404,36459,8320,28139,114510,59316,55194
Bihar,10,39334,18901947,104039728,54246872,49792856,19124439,9882193,9242246,16555254,8599930,7955324,1335658,682060,653598,52470438,31588042,20882396,51569290,22658830,28910460,34707230,25208411,9498819,69332498,29038461,40294037,21347118,17260610,4086508,13360112,7947801,5412311,10918007,6724902,4193105,2442105,1222899,1219206,5411154,4686942,724212,9534108,7370726,2163382,779145,488567,290578,5622711,4714375,908336,1782293,1056134,726159,8805401,5195416,3609985,631399,273220,358179,2141019,1423031,717988,1445434,886144,559290,7208840,4415024,2793816,465555,213232,252323,1798178,1210502,587676,336859,169990,166869,1596561,780392,816169,165844,59988,105856,342841,212529,130312
Chandigarh,4,14,238740,1046435,575241,471194,118321,62954,55367,197820,105642,92178,0,0,0,798401,460856,337545,248034,114385,133649,400209,324785,75424,646226,250456,395770,382364,314062,68302,17845,10723,7122,14859,8831,6028,2986,1892,1094,2037,1776,261,1365,1139,226,4182,3255,927,374780,307892,66888,406,206,200,280,199,81,575,208,367,16584,10110,6474,383,194,189,237,175,62,418,150,268,13821,8312,5509,23,12,11,43,24,19,157,58,99,2763,1798,965
Chhattisgarh,22,20510,5626434,25434800,12775900,12658900,3646166,1851703,1794463,3255952,1632354,1623598,7806013,3864856,3941157,15302275,8764503,6537772,10132525,4011397,6121128,12140818,7103947,5036871,13293982,5671953,7622029,8207012,5570387,2636625,3933806,1533560,2400246,3173793,1253463,1920330,760013,280097,479916,3035860,2056155,979705,2502756,1388984,1113772,136090,91274,44816,2532306,2033974,498332,966323,366127,600196,2584137,952795,1631342,50809,21563,29246,332537,193075,139462,757313,285561,471752,2132900,802788,1330112,38947,16636,22311,244633,148478,96155,209010,80566,128444,451237,150007,301230,11862,4927,6935,87904,44597,43307
Dadra & Nagar Haveli,26,74,77190,347817,195836,151981,51580,26798,24782,6359,3427,2932,180115,89608,90507,224938,143576,81362,122879,52260,70619,159629,120517,39112,188188,75319,112869,131389,109901,21488,28240,10616,17624,24098,8705,15393,4142,1911,2231,23317,16894,6423,6564,3418,3146,1608,1173,435,99900,88416,11484,5592,1875,3717,12755,2657,10098,629,218,411,9264,5866,3398,4877,1527,3350,10721,2069,8652,541,185,356,7959,4924,3035,715,348,367,2034,588,1446,88,33,55,1305,942,363
Daman & Diu,25,27,60956,243247,150301,92946,26934,14144,12790,6124,3151,2973,15363,7771,7592,188406,124643,63763,54841,25658,29183,121271,107434,13837,121976,42867,79109,116435,104614,11821,4836,2820,2016,3575,1923,1652,1261,897,364,1649,1300,349,491,272,219,380,295,85,113915,102747,11168,667,192,475,281,90,191,304,37,267,3584,2501,1083,593,169,424,226,72,154,235,30,205,2521,1652,869,74,23,51,55,18,37,69,7,62,1063,849,214
Delhi,7,243,3270567,16035384,8595399,7439985,1937278,1036236,901042,2721461,1444196,1277265,0,0,0,12134208,6873251,5260957,3901176,1722148,2179028,5303875,4539087,764788,10731509,4056312,6675197,5045101,4353587,691514,258774,185500,73274,216808,154896,61912,41966,30604,11362,27552,24110,3442,30082,24497,5585,159250,137737,21513,4828217,4167243,660974,5403,3136,2267,7831,5610,2221,11815,6228,5587,233725,170526,63199,5036,2915,2121,6303,4503,1800,9285,5023,4262,196184,142455,53729,367,221,146,1528,1107,421,2530,1205,1325,37541,28071,9470
