City,COUNT,No of Household,Population in the age group 0-6 Person,Population in the age group 0-6 Male,Population in the age group 0-6 Female,Total population Person,Total population Male,Total population Female,Scheduled Castes population Person,Scheduled Castes population Male,Scheduled Castes population Female,Scheduled Tribes population Person,Scheduled Tribes population Male,Scheduled Tribes population Female,Literates population Person,Literates population Male,Literates population Female,Illiterate Persons,Illiterate Male,Illiterate Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Working Population Person,Main Working Population Male,Main Working Population Female,Main Cultivator Population Person,Main Cultivator Population Male,Main Cultivator Population Female,Main Agricultural Labourers Population Person,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Female,Main Household Industries Population Person,Main Household Industries Population Male,Main Household Industries Population Female,Main Other Workers Population Person,Main Other Workers Population Male,Main Other Workers Population Female,Marginal Worker Population Person,Marginal Worker Population Male,Marginal Worker Population Female,Marginal Cultivator Population Person,Marginal Cultivator Population Male,Marginal Cultivator Population Female,Marginal Agriculture Labourers Population Person,Marginal Agriculture Labourers Population Male,Marginal Agriculture Labourers Population Female,Marginal Household Industries Population Person,Marginal Household Industries Population Male,Marginal Household Industries Population Female,Marginal Other Workers Population Person,Marginal Other Workers Population Male,Marginal Other Workers Population Female,Marginal Worker Population 3-6 Person,Marginal Worker Population 3-6 Male,Marginal Worker Population 3-6 Female,Marginal Cultivator Population 3-6 Person,Marginal Cultivator Population 3-6 Male,Marginal Cultivator Population 3-6 Female,Marginal Agriculture Labourers Population 3-6 Person,Marginal Agriculture Labourers Population 3-6 Male,Marginal Agriculture Labourers Population 3-6 Female,Marginal Household Industries Population 3-6 Person,Marginal Household Industries Population 3-6 Male,Marginal Household Industries Population 3-6 Female,Marginal Other Workers Population Person 3-6 Person,Marginal Other Workers Population Person 3-6 Male,Marginal Other Workers Population Person 3-6 Female,Marginal Worker Population 0-3 Person,Marginal Worker Population 0-3 Male,Marginal Worker Population 0-3 Female,Marginal Cultivator Population 0-3 Person,Marginal Cultivator Population 0-3 Male,Marginal Cultivator Population 0-3 Female,Marginal Agriculture Labourers Population 0-3 Person,Marginal Agriculture Labourers Population 0-3 Male,Marginal Agriculture Labourers Population 0-3 Female,Marginal Household Industries Population 0-3 Person,Marginal Household Industries Population 0-3 Male,Marginal Household Industries Population 0-3 Female,Marginal Other Workers Population 0-3 Person,Marginal Other Workers Population 0-3 Male,Marginal Other Workers Population 0-3 Female,Non Working Population Person,Non Working Population Male,Non Working Population Female
Agra,91,264099,194303,104676,89627,1557861,831543,726318,374534,201337,173197,5756,3052,2704,999262,567368,431894,558599,264175,294424,507781,406631,101150,394569,336089,58480,6995,5404,1591,11077,9531,1546,32089,24016,8073,344408,297138,47270,113212,70542,42670,3339,2079,1260,5520,4056,1464,9346,5181,4165,95007,59226,35781,100182,61363,38819,3172,1976,1196,4133,3019,1114,6953,3826,3127,85924,52542,33382,13030,9179,3851,167,103,64,1387,1037,350,2393,1355,1038,9083,6684,2399,1050080,424912,625168
Ahmedabad,44,811501,434082,233864,200218,3896384,2050711,1845673,482292,253491,228801,47204,24982,22222,3026992,1665215,1361777,869392,385496,483896,1357082,1147999,209083,1261228,1093676,167552,4128,2958,1170,4179,3254,925,24558,15705,8853,1228363,1071759,156604,95854,54323,41531,3032,1370,1662,1323,656,667,6752,1889,4863,84747,50408,34339,84925,47780,37145,2980,1339,1641,1226,605,621,5414,1457,3957,75305,44379,30926,10929,6543,4386,52,31,21,97,51,46,1338,432,906,9442,6029,3413,2539302,902712,1636590
Allahabad,81,200416,117135,62684,54451,1139488,615136,524352,155182,83333,71849,1867,1031,836,864930,487694,377236,274558,127442,147116,378911,294007,84904,275864,229010,46854,3175,2438,737,5337,3971,1366,21062,15822,5240,246290,206779,39511,103047,64997,38050,2013,1228,785,3620,2513,1107,8443,4973,3470,88971,56283,32688,94795,59106,35689,1892,1155,737,3110,2125,985,7112,4204,2908,82681,51622,31059,8252,5891,2361,121,73,48,510,388,122,1331,769,562,6290,4661,1629,760577,321129,439448
Amritsar,66,236106,117698,64506,53192,1142793,607263,535530,240606,127197,113409,0,0,0,863870,472127,391743,278923,135136,143787,423099,343756,79343,374065,314827,59238,4522,3707,815,7962,6762,1200,16367,12111,4256,345214,292247,52967,49034,28929,20105,1304,764,540,1337,886,451,2951,1197,1754,43442,26082,17360,45278,26338,18940,1280,748,532,1201,778,423,2552,1021,1531,40245,23791,16454,3756,2591,1165,24,16,8,136,108,28,399,176,223,3197,2291,906,719694,263507,456187
Ashta,18,9722,7299,3779,3520,51824,26866,24958,6944,3565,3379,529,301,228,35343,19684,15659,16481,7182,9299,16278,13752,2526,14133,12490,1643,594,564,30,228,163,65,286,232,54,13025,11531,1494,2145,1262,883,63,16,47,370,128,242,100,43,57,1612,1075,537,1716,1018,698,52,9,43,320,120,200,78,30,48,1266,859,407,429,244,185,11,7,4,50,8,42,22,13,9,346,216,130,35546,13114,22432
Bengaluru,198,2111315,920309,473844,446465,8476897,4409504,4067393,963345,487985,475360,155626,80853,74773,6701349,3608802,3092547,1775548,800702,974846,3709395,2721564,987831,3380625,2534239,846386,22599,14454,8145,37386,26977,10409,77592,54781,22811,3243048,2438027,805021,328770,187325,141445,10614,4936,5678,9218,5271,3947,15078,7865,7213,293860,169253,124607,297574,168544,129030,10362,4823,5539,8494,4819,3675,11714,6016,5698,267004,152886,114118,31196,18781,12415,252,113,139,724,452,272,3364,1849,1515,26856,16367,10489,4767502,1687940,3079562
Chennai,201,1154982,459324,235519,223805,4646732,2335844,2310888,779667,389001,390666,10061,5207,4854,3776276,1968079,1808197,870456,367765,502691,1817297,1369302,447995,1619554,1256644,362910,10210,6732,3478,10251,6015,4236,29143,15860,13283,1569950,1228037,341913,197743,112658,85085,4244,2188,2056,3423,1830,1593,8202,2689,5513,181874,105951,75923,175715,99348,76367,4125,2153,1972,3107,1686,1421,6356,1933,4423,162127,93576,68551,22028,13310,8718,119,35,84,316,144,172,1846,756,1090,19747,12375,7372,2829435,966542,1862893
Coimbatore,72,282839,102069,52275,49794,1050721,526163,524558,107949,54070,53879,683,363,320,866098,447616,418482,184623,78547,106076,425115,320910,104205,402038,309311,92727,1539,1141,398,2908,1862,1046,11789,7659,4130,385802,298649,87153,23077,11599,11478,531,257,274,500,206,294,1169,352,817,20877,10784,10093,20177,10047,10130,512,250,262,441,175,266,916,269,647,18308,9353,8955,2900,1552,1348,19,7,12,59,31,28,253,83,170,2569,1431,1138,625606,205253,420353
Delhi,281,2441015,1304716,696942,607774,11638450,6211194,5427256,1857928,983139,874789,0,0,0,9035092,5039242,3995850,2603358,1171952,1431406,4015652,3362124,653528,3830090,3231651,598439,6784,5656,1128,13929,11380,2549,129686,113027,16659,3679691,3101588,578103,185562,130473,55089,2399,1373,1026,2801,2005,796,8176,4440,3736,172186,122655,49531,156327,109123,47204,2281,1289,992,2405,1696,709,6491,3625,2866,145150,102513,42637,29235,21350,7885,118,84,34,396,309,87,1685,815,870,27036,20142,6894,7622798,2849070,4773728
Ghaziabad,79,331258,205245,111844,93401,1623268,861117,762151,220256,117438,102818,2932,1539,1393,1203685,671533,532152,419583,189584,229999,569581,449946,119635,478466,396246,82220,7271,5629,1642,10427,8771,1656,22470,18214,4256,438298,363632,74666,91115,53700,37415,3020,1668,1352,4140,2936,1204,4560,2448,2112,79395,46648,32747,84527,49381,35146,2921,1616,1305,3487,2493,994,3784,2037,1747,74335,43235,31100,6588,4319,2269,99,52,47,653,443,210,776,411,365,5060,3413,1647,1053687,411171,642516
