ISO3,Country,MiCode,Micode Description,Count
ABW,Aruba,80010200,Capital City,1
ABW,Aruba,80020105,Settlement or equivalent,11
AFG,Afghanistan,80010200,Capital City,1
AFG,Afghanistan,80020101,Major City or equivalent,28
AFG,Afghanistan,80020104,Small Town or equivalent,369
AGO,Angola,80010200,Capital City,1
AGO,Angola,80020101,Major City or equivalent,24
AGO,Angola,80020102,City or equivalent,135
AGO,Angola,80020103,Major Town or equivalent,88
AGO,Angola,80020104,Small Town or equivalent,3882
AGO,Angola,80020105,Settlement or equivalent,129
AIA,Anguilla,80010200,Capital City,1
AIA,Anguilla,80020105,Settlement or equivalent,19
ALB,Albania,80010200,Capital City,1
ALB,Albania,80020101,Major City or equivalent,11
ALB,Albania,80020103,Major Town or equivalent,46
ALB,Albania,80020104,Small Town or equivalent,315
ALB,Albania,80020105,Settlement or equivalent,2718
AND,Andorra,80010200,Capital City,1
AND,Andorra,80020103,Major Town or equivalent,4
AND,Andorra,80020104,Small Town or equivalent,2
AND,Andorra,80020105,Settlement or equivalent,51
ARE,United Arab Emirates,80010200,Capital City,1
ARE,United Arab Emirates,80020101,Major City or equivalent,9
ARE,United Arab Emirates,80020103,Major Town or equivalent,13
ARE,United Arab Emirates,80020104,Small Town or equivalent,887
ARE,United Arab Emirates,80020105,Settlement or equivalent,34
ARG,Argentina,80010200,Capital City,1
ARG,Argentina,80020101,Major City or equivalent,30
ARG,Argentina,80020103,Major Town or equivalent,424
ARG,Argentina,80020104,Small Town or equivalent,1361
ARG,Argentina,80020105,Settlement or equivalent,2789
ARM,Armenia,80010200,Capital City,1
ARM,Armenia,80020102,City or equivalent,10
ARM,Armenia,80020104,Small Town or equivalent,102
ASM,American Samoa,80010200,Capital City,1
ASM,American Samoa,80020104,Small Town or equivalent,4
ATF,French Southern Territories,80020103,Major Town or equivalent,1
ATF,French Southern Territories,80020104,Small Town or equivalent,2
ATG,Antigua And Barbuda,80010200,Capital City,1
ATG,Antigua And Barbuda,80020101,Major City or equivalent,2
ATG,Antigua And Barbuda,80020103,Major Town or equivalent,4
ATG,Antigua And Barbuda,80020104,Small Town or equivalent,1
ATG,Antigua And Barbuda,80020105,Settlement or equivalent,2
AUS,Australia,80010200,Capital City,2
AUS,Australia,80020101,Major City or equivalent,14
AUS,Australia,80020102,City or equivalent,16
AUS,Australia,80020103,Major Town or equivalent,174
AUS,Australia,80020104,Small Town or equivalent,20297
AUS,Australia,80020105,Settlement or equivalent,1736
AUT,Austria,80010200,Capital City,1
AUT,Austria,80020101,Major City or equivalent,8
AUT,Austria,80020102,City or equivalent,72
AUT,Austria,80020103,Major Town or equivalent,170
AUT,Austria,80020104,Small Town or equivalent,1872
AUT,Austria,80020105,Settlement or equivalent,12786
AZE,Azerbaijan,80010200,Capital City,1
AZE,Azerbaijan,80020104,Small Town or equivalent,234
BDI,Burundi,80010200,Capital City,1
BDI,Burundi,80020101,Major City or equivalent,16
