Version,country,ISO3,region,year,month,total_count,country,region,road_id,stableid,month,year,featureid,traffic_dir,val_dir,line_dir,wd_1,wd_2,wd_3,wd_4,wd_5,wd_6,wd_7,wd_8,wd_9,wd_10,wd_11,wd_12,wd_13,wd_14,wd_15,wd_16,wd_17,wd_18,wd_19,wd_20,wd_21,wd_22,wd_23,wd_24,we_1,we_2,we_3,we_4,we_5,we_6,we_7,we_8,we_9,we_10,we_11,we_12,we_13,we_14,we_15,we_16,we_17,we_18,we_19,we_20,we_21,we_22,we_23,we_24
2019.12,Canada,CAN,Nova Scotia,2019,2,188023,100,100,78,100,100,100,100,39,100,100,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
2019.12,Canada,CAN,Newfoundland and Labrador,2019,4,76256,100,100,76,100,100,100,100,44,100,100,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
2019.12,Canada,CAN,Saskatchewan,2019,11,369792,100,100,56,100,100,100,100,19,100,100,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
2019.12,Canada,CAN,Prince Edward Island,2019,10,32912,100,100,94,100,100,100,100,59,100,100,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
2019.12,Canada,CAN,Nova Scotia,2019,9,197096,100,100,79,100,100,100,100,47,100,100,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
2019.12,Canada,CAN,Yukon,2019,5,10575,100,100,78,100,100,100,100,51,100,100,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
2019.12,Canada,CAN,Nunavut,2019,5,5027,100,100,23,100,100,100,100,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.12,Canada,CAN,Alberta,2019,1,716675,100,100,76,100,100,100,100,43,100,100,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
2019.12,Canada,CAN,New Brunswick,2019,4,311486,100,100,45,100,100,100,100,24,100,100,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
2019.12,Canada,CAN,Nunavut,2019,3,5095,100,100,24,100,100,100,100,4,100,100,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
